,Rating,Review Words
0,1,i'm
1,1,going
2,1,start
3,1,positives
4,1,store
5,1,employees
6,1,nice
7,1,helpful
8,1,i've
9,1,visited
10,1,good
11,1,store
12,1,pet
13,1,care
14,1,accessories
15,1,materials
16,1,come
17,1,negatives
18,1,recently
19,1,aquariums
20,1,issues
21,1,100
22,1,aquatics
23,1,department
24,1,time
25,1,bought
26,1,fish
27,1,store
28,1,sick
29,1,bought
30,1,betta
31,1,10
32,1,gallon
33,1,day
34,1,noticeably
35,1,covered
36,1,ich
37,1,treated
38,1,assumed
39,1,gotten
40,1,bad
41,1,luck
42,1,new
43,1,tank
44,1,decided
45,1,purchase
46,1,guppies
47,1,8
48,1,beautiful
49,1,fish
50,1,3
51,1,died
52,1,days
53,1,rest
54,1,sick
55,1,different
56,1,ailments
57,1,internal
58,1,parasite
59,1,nearly
60,1,ich
61,1,awful
62,1,fungal
63,1,infection
64,1,contagious
65,1,don't
66,1,doubt
67,1,fish
68,1,going
69,1,horribly
70,1,sick
71,1,weeks
72,1,going
73,1,die
74,1,bought
75,1,fish
76,1,days
77,1,ago
78,1,water
79,1,tested
80,1,store
81,1,told
82,1,wasn't
83,1,water
84,1,clear
85,1,issue
86,1,aquatics
87,1,tanks
88,1,cared
89,1,improperly
90,1,time
91,1,come
92,1,fail
93,1,tons
94,1,dead
95,1,fish
96,1,sitting
97,1,tanks
98,1,disappointed
99,1,implore
100,1,buy
101,1,animals
102,1,petco
103,1,it's
104,1,bad
105,1,aquatics
106,1,i'm
107,1,afraid
108,1,birds
109,1,rodents
110,1,reptiles
111,1,treated
112,1,buy
113,1,living
114,1,animal
115,1,location
116,1,allen's
117,1,pet
118,1,center
119,1,better
120,1,location
121,1,healthier
122,1,beautiful
123,1,fish
124,1,regret
125,1,going
126,1,better
127,1,good
128,1,seemingly
129,1,caring
130,1,staff
131,1,wish
132,1,animals
133,1,given
134,1,proper
135,1,care
136,5,got
137,5,new
138,5,puppy
139,5,oh
140,5,wait
141,5,need
142,5,million
143,5,things
144,5,petco
145,5,tons
146,5,questions
147,5,sales
148,5,associate
149,5,andy
150,5,knowledgeable
151,5,friendly
152,5,changed
153,5,mind
154,5,times
155,5,asked
156,5,million
157,5,questions
158,5,patient
159,5,helpful
160,5,entire
161,5,time
162,5,best
163,5,experiences
164,5,store
165,5,thank
166,5,andy
167,1,half
168,1,reptiles
169,1,sale
170,1,extremely
171,1,bad
172,1,shape
173,1,malnourished
174,1,dehydrated
175,1,housed
176,1,inadequately
177,1,allowed
178,1,sell
179,1,animals
180,1,incapable
181,1,caring
182,1,picture
183,1,large
184,1,lizard
185,1,eating
186,1,food
187,1,starving
188,1,s
189,1,smaller
190,1,tank
191,1,mates
192,1,irresponsible
193,1,animal
194,1,husbandry
195,1,shameful
196,1,bought
197,1,cat
198,1,career
199,1,22
200,1,december
201,1,2022
202,1,asked
203,1,2
204,1,members
205,1,work
206,1,help
207,1,decided
208,1,consult
209,1,cash
210,1,register
211,1,professed
212,1,inform
213,1,idea
214,1,accurate
215,1,stated
216,1,didnt
217,1,know
218,1,checked
219,1,purchased
220,1,item
221,1,needed
222,1,unfortunately
223,1,ticket
224,1,flow
225,1,street
226,1,going
227,1,chase
228,1,later
229,1,found
230,1,right
231,1,today
232,1,went
233,1,return
234,1,explained
235,1,happen
236,1,manager
237,1,asked
238,1,phone
239,1,number
240,1,phone
241,1,number
242,1,talking
243,1,asked
244,1,wen
245,1,purchase
246,1,gave
247,1,phone
248,1,#
249,1,informed
250,1,asked
251,1,phone
252,1,number
253,1,got
254,1,reimbursed
255,1,item
256,1,complaint
257,1,mass
258,1,managers
259,1,remark
260,1,saying
261,1,remember
262,1,phone
263,1,number
264,1,time
265,1,purchase
266,1,avoid
267,1,mass
268,1,time
269,1,train
270,1,cash
271,1,registers
272,1,ask
273,1,phone
274,1,number
275,1,train
276,1,better
277,1,wen
278,1,customer
279,1,needs
280,1,help
281,1,thank
282,1,false
283,1,advertising
284,1,saw
285,1,9
286,1,clearance
287,1,price
288,1,dog
289,1,bed
290,1,got
291,1,counter
292,1,4999
293,1,manager
294,1,refused
295,1,advertised
296,1,price
297,1,said
298,1,mislabeled
299,1,actual
300,1,items
301,1,stock
302,1,shame
303,1,petco
304,1,new
305,1,owners
306,1,animal
307,1,kingdom
308,1,took
309,1,years
310,1,ago
311,1,tried
312,1,hard
313,1,work
314,1,especially
315,1,live
316,1,block
317,1,store
318,1,unfortunately
319,1,kept
320,1,changing
321,1,brands
322,1,carried
323,1,discontinuing
324,1,brands
325,1,cats
326,1,wanted
327,1,support
328,1,local
329,1,business
330,1,place
331,1,special
332,1,orders
333,1,brands
334,1,cats
335,1,place
336,1,orders
337,1,week
338,1,advance
339,1,knowing
340,1,orders
341,1,fulfilled
342,1,leaving
